index,2018年度,2019年度,2020年度,2021上半年,2021下半年,2022年度,2022年评分,2023年度,2023年评分
0,151、家电下乡送出了杨永信保证每家都能电一下。,336、我坚信世上没有鬼，直到女鬼阐述萨特的存在主义我才开始害怕,365、将两位人上人关在一起竟组成永动机,306、我二次元浓度偏低，又二又次，但没元,295、两黑帮火拼，潜伏其中的双面卧底开始打自己,365、“弥勒佛每天啥也不干就知道傻乐，他靠什么渡人？”<br>“摆渡人。”,3.46,353、被送去做绝育的哈士奇愤怒地问大夫：“割本哈根？！！！”,3.46
1,150、震惊，一油漆工因给学校抹黑而惨遭全校师生痛殴！,335、训导处报告，训导处报告，三年二班周杰伦同学，你妈妈拿了两罐旺仔牛奶要给你。,364、铁汁萌，我做的对吗？”小明在考场上拿着答题卡问周围同学,305、我投币后up主还是没能续命通关。,293、为啥有人说话要带括号，是在调用函数吗,364、少儿频道，里面不会有太多北京人参与。,3.46,352、大臣对国王说，我只要棋盘第一格放1粒米，第二格放2粒米，第三格放4粒米……聪明的汉景帝听罢，举起棋盘，一下就解决了问题。,3.46
2,149、情人节我在街边摆摊，情侣只要跳过火圈即可得精美礼品,334、落在房顶进屋送礼被乱枪打死圣诞老人哭着说再也不玩绝地求生了。,363、我失去了光明的同时，也征服了太阳。,304、时间就像脑子里的水，明明有很多，却一点也挤不出来,292、小王和Miku订婚，朋友圈文案：未来可妻。,363、这门课是机器学习，为什么要学生参加考试？,3.47,349、既然未成年人玩手机有各种限制，那不如将手机列为成人用品。,3.47
3,147、“感谢你接受我们的服务”。说完劫匪递给我张名片,332、装蒜能吓跑吸血鬼吗？,362、“服务员，我的九转大肠怎么还没上？”<br>“先生你好，厨师正吃着八转大肠呢，马上就好了！”,303、建议以后大学生回答“论文写得怎么样了？”时，别再说“八字还没一撇”，改成“水字还没一竖钩”。,291、我最讨厌那些说我嘴硬的人了，你都没和我接过吻，凭什么说我嘴硬,362、资本家让无价的生命变得无价了。,3.47,348、小明一出生就没有手，原来是注册账号时忘记领新手礼包。,3.47
4,146、王警官在与匪徒斗智斗勇后化敌为友联手将人质击毙,331、北魏孝文帝大力实施汉化，终于让所有汉族人民看到了汉化本子,361、人的一生应当有两次奋不顾身。一次是第一次，一次是第二次。,302、时间就像海绵体里的水，挤挤就行了，挤多了会死的,290、秦始皇焚书坑儒，所以他也是反孔精英,*361、上联：生生不息<br>下联：口口相传,3.47,347、相信细心的观众已经发现了，这个世界就是一坨大狗屎。,3.47
5,145、孩子突发急性流感，在诸多专家医生的奋力抢救下终于保住了全尸。,330、把前女友说成前妻是高尚行为，显得对那段感情很认真,360、组织上同意了罪犯的宽大处理，给他定制了oversized寿衣。,301、这爱豆可盐可甜因为本身就淡而无味,289、主唱和吉他手讲贝斯手笑话竟忘了贝斯手也在台上。,*360、短道速滑终点线上，韩国解说兴奋地喊道：韩国选手大宪已到！,3.47,346、果蝇对摩尔根说：“看我眼色行事。”,3.47
6,144、殡仪馆新开张V信朋友圈集满88个赞免费获得檀木棺材一口,329、最终还是没能成为你的爱豆呢。曹植面对曹丕流下了眼泪,359、拍摄《穿越火线》时演员王老汉不慎触地而死。为保障演员安全剧组改拍《穿越零线》,300、建议不要发很多弱智的东西，这个吧看起来实在太弱智了。,288、你可以在steam上找到GTA，所以水是蛋白质。,359、宿舍守则：养成良好卫生习惯；加强安全防范意识；原则上不得杀害室友。,3.47,345、地狱里全是我那些爱讲地狱笑话的朋友一定很有趣。,3.47
7,143、新闻：张无忌为练九阳神功联合灰太狼偷走羊村九只小羊被通缉,328、唐国强穿越到三国后当场被奉为诸葛亮,358、谁能想到，这张仿佛温和无害的笑脸之下竟然隐藏着面部肌肉和神经,299、CP的鹊桥断了就用奈何桥补上。,287、收银员都是一吗？为什么整天找零？,358、二维生物没有立体概念，我没有时间观念有什么问题吗？,3.47,344、“手心手背都不是肉。”耶稣十分愤怒。,3.47
8,141、女朋友上次说要***怎么她现在是反悔了吗害得我两天没喂牛,327、亚洲流行天王被曝患有几百种流行病，网友：实至名归,357、被道德绑架后，王老汉竟患上斯德哥尔摩综合征，从此爱上了道德。,298、人为什么有两只眼睛？因为人有一只左眼，还有一只右眼，一加一等于二，所以人类拥有两只眼睛。,286、体重秤是免费的查重机器。,357、暴雨中前进，伞是倒划天空的船。,3.48,*343、记者：C罗，请问是什么让你今晚落下泪水？<br>C罗：摩洛哥逼的。,3.48
9,139、大爷，只要放小人一条生路，要杀要剐悉听尊便！,326、男演员砍头戏NG数百次从群演到导演全部被砍光。,356、看到有和尚在路上化缘，他还没开口我就知道他要的是什么了，这就是要素察觉,296、祖宗最不安全的人竟然被称为祖安人,285、原来不是起雾了，是天上的云掉下来了,356、水泥建成大厦，是山的借尸还魂。,3.48,342、安检员不安地发现这个包袱响了。,3.48
10,138、中东地区医疗条件落后只能用加特林进行安乐死,325、我爷爷人老了听力不好，孝顺的我送了他一套英语听力练习,355、25岁程序员52岁的父亲不幸去世，真是白发人送黑发人。,"295、没有恋爱谈？不要慌张，学学这招：默念3,153,600,000个数，这辈子就过去了。小朋友们学会了吗？",284、会不会我并没有得心脏病，只是心脏要抛弃我这个宿主？,355、观众觉得亚军跟季军很般配，纷纷让二追三。,3.48,341、把地球倒置，我用撒哈拉沙漠计时。,3.48
11,137、宫内传言今天皇上随手翻的牌子是敬事房刘公公的,324、某人想要博人眼球，被鸣人打成**,354、“我就一个老公还有一个老婆，哪里违反一夫一妻制了？”,294、两个霓虹关西人在中国讨论健康码“红码你？”<br>“红码红码。”,283、从今天起，，做一个双标的人！！,354、男人就像路上用的钱，有的人是盘缠，有的人是细软。,3.48,340、葬身之地翻译成日文，是不是死啦死啦地？,3.48
