序号	评分	帖子
1		1.屎是米的尸体，尿是水的尸体，那么屑是什么？
2		2.人是铁饭是钢，食人族酋长望着逃走的俘虏恨铁不成钢
3		3.学校组织男同学去羊圈参观，因为那里充满了羊肛之气。
4		4.这台手术很成功，我失败的人生结束了。
5		5.燕子叽叽喳喳叫个不停，“咏春？”叶问。
6		6.大学生活要大学生死。
7		7.猪为了不被做成东坡肉，毅然跳出了苏轼圈。
9		9.希望大家可以爱护海洋环境，我在网上冲浪时看见了好多垃圾。
10		10.我长大了想当资本家，爷爷奶奶可高兴了，给我最喜欢的人血馒头吃
11		11.王警官用卸妆水清掉了敌人的眼线
12		12.我在冬天把邻居埋在了后院里，来年春天后院里开满了警察
13		13.妈妈看了《我刷的碗》之后忍不住二刷了
15		15.“让我们做一些关了灯才能做的事情吧” “开灯”
16		16.我闭上眼睛触碰星空，阅读宇宙留给我的盲文。
17		17.我们自豪地宣布，在本吧今年的英明指挥下，地球又安全地绕了太阳一圈！
18		18.真相浮出水面，说明ρ真相＜ρ水
19		19.我用睡眠代餐死亡
20		20.既然考不上，那我就二战了——阿道夫·希特勒
21		21.因为这种树很通人性，所以在东北被称为银杏树。
22		22.“抓小偷啊！” 话音刚落街上的韩国人立马躲了起来
23		23.加了凶手微信好友的王警官终于在一次追捕行动中超过了凶手的微信步数。
25		25.有目的地的人生才会迷路，我只是来世界散步。
26		26.古代公务员为什么也叫staff
27		27.学校查早恋，我主动承认了，老师问清了情况，告诉我，你个傻子这不叫早恋，你们只是朋友关系
28		28.屡试不爽：经常去面试，还是找不到日薪208万的工作
29		29.考试抄邻桌时南山区律师冲进来控告我盗用商业模式
30		30.因为铜没有磁性,所以世界上的铜都是男铜
31		31.开关是灯的日出日落，日出日落是灯的开关。
32		32.为什么要感到伤心，难道你的生活还不够可笑吗？
33		33.愚公移山为什么不找精卫打工，精卫填海为什么不让夸父先喝掉点，夸父追日为什么不到后羿那要现成的
34		34.阴间规定:禁止过阳节
35		35.因为宣传狼性文化，这只狼在狼群里被视为色狼。
36		36.成年人的崩溃从算了开始，计算机的崩溃从不算了开始
37		37.妈妈的爱是我走向死亡路上的绊脚石。
38		38.“借个火。”老丁对边上的小伙说。  “行！”小人对老灯说。
39		39.你要是把开水放凉了，那它就是白开了
40		40.愚公发现用了耗子药家里的耗子就没了后，通过类比法买了两斤山药成功移走山
41		41.“明年二战” 1938年考研结束后一名考生说到。
42		42.震惊!反人类的设计竟然都是人类设计的!
43		43.有个群友经常在我们说话时冒出来说一句：“草，有毒”怀疑是神农混到了我们群里
44		44.只有小孩子才说喝茶，成人用品。
45		45.如果全国人民每人给我一块钱，就能在不知不觉中完成全国人口普查
46		46.“2020年最后一天，郭老师和于老师都道歉了！”“德云社怎么了？”
47		47.我要偷偷努力，然后在所有人的预料之中失败
48		48.孩子色盲了，好心人捐捐色图救救孩子。
49		49.马上去考信号与系统了，我信号不好，先挂了
50		50.文学家死后会成为天文学家吗？理学家死后会成为地理学家吗？
51		51.停车这人是瞎子吧？不然为什么把车停盲道上
52		52.日本在福岛发现一种新的扇贝命名为氚钡铍钯锆
53		53.既然正义的反义词是邪恶，那么大光明的反义词就是小至暗
54		54.如何做鸡兔同笼：首先随便蒙一个数，然后说他们来自日本
55		55.秦始皇焚书坑儒，机智的道士把儒家学术抄在了《博人传》上
56		56.为了庆祝泼水节，大学生开始互相传阅论文。
57		57.范进中举，又名出道即癫疯
58		58.B疑惑地问β，“你丨是丨啥丨b”
59		59.骨折应该是传染的吧，不然为什么一个病房全是骨折的
60		60.大多人想做医生，却极少人想扫地，这导致了垃圾到处都是。
61		61.王建国：我曾经。。。 旁人：别说了！建国以后不许曾经！
62		62.鲍勃.绦纶有一天终于受不了静电了 换成了鲍勃.纯棉
63		63.卑鄙是卑鄙者的前两个字，高尚是高尚者的前两个字。
64		64.向禁欲的寺庙求姻缘，向不出门的方丈问人生
65		65.狗：你为什么不找个主人呢？ 狼：你不懂自由！ 狗若有所思地离开了动物园。
66		66.网上很多人的思维跟二极管一样，所以我猜测他们都是硅基生物
67		67.“怎么每次扫黄都有你？”小张忍不住抬头询问扫黄大队队长
68		68.“这是内鬼”古代的鬼彬彬有礼地介绍自己的妻子。
69		69.“自我介绍一下吧。”“你好，我是弱智吧。”“这咋还不确定呢？”
70		70.这个杀手不太冷，但他媽觉得他冷。
71		71.刘姥姥虽然是个下里巴人，但她总是引经据典，所有的话都出自四大名著，可见她深藏不露
72		72.我白天从来不说梦话 因为我想攒着晚上告诉月亮
73		73.为什么休息日过得快，工作日过得慢呢？因为工作日有5天，休息日只有两天
74		74.如果男同是由1和0组成的,那么可不可以用男同来编程
75		75.艹粉的偶像，又被称为干饭人
77		77.您瞧这地铁修得，那叫一个地道
78		78.会不会是我本来就考不上清华，而不是我不想去？
79		79.我躺在床上，被子躺在我身上 原来我也是床，被子才是唯一睡觉的人
80		80.“我出门了。”踏进收容所的大门时，流浪汉对整个城市说道。
81		81.“你做主吧”玛利亚对她儿子说到。
82		82.我删除掉整个世界，世界却只删除一个我
83		83.医生试图叫醒昏倒的病人：“醒醒！现在还不能昏！离昏还需要三十天呢！”
84		84.现在论文越来越多，但是搬起来却不用费力气，因为它们没有任何质量
85		85.“说一句没有十年脑溢血说不出来的话。”       “我有十年脑溢血。”
86		86.新一被打晕变小后为什么还能成为名侦探？因为这孩子打小就聪明。
87		87.夫妻本是同林鸟，大难临头各自冷静一个月再飞。
88		88.小王去了大学，小刚去了中专，小红去了百货商场。这三个地方保安待遇都挺好的。
89		89.出来了！出来了！360搜索引擎年度关键词：百度！
90		90.时隔80年日本成功对美国发动核打击
91		91.offline是“不在线”，那office可不可以理解为“不要冰”？
92		92.鱼戏莲叶东市买骏马  鱼戏莲叶西市买鞍鞯  鱼戏莲叶南市买辔头  鱼戏莲叶北市买长鞭
93		93.制订了周密的学习计划，希望周密好好学习
94		94.致谢并不是论文的终章，而是青春的悼词。
95		95.由于题材过于猎奇，我的sci论文被拒并建议我转投scp。
96		96.喜羊羊已经开拍16年了, 普通的羊寿命只有15年左右, 会不会喜羊羊里面的演员早换了
97		97.所谓久别胜新婚, 两个十年未见的仇人被法官判定当庭结婚
98		98.医生叹了口气走出手术室，对家属摇了摇头说:“我脖子好酸。”
99		99.硕士比本科生更聪明是不是因为他们把脑子里的水都倒到论文里了？
100		100.毕业生因为缺乏工作经验而迟迟找不到工作。
101		101.小王种的地得到了大家的认可。的地得警察欣慰的离开了。
102		102.人一旦快xia了，就只能感受光点了。
103		103.劝君更进一杯酒，析出阳关无故人，可见故人溶于酒精而阳关不溶
104		104.既然5月20日是情人节，那么能不能把2月50日作为弱智吧的节日?
105		105.影子是光的尸体
106		106.我说的就是正主，我不明白为什么非要下降到粉丝
107		107.他的人格分裂成一对兄弟：老大不小了，老二刺猿了。
108		108.孟德尔为什么要花几年去做实验研究而不是直接看生物书？
109		109.为了避免宇航员在空间站排便会粘在PP上，所有食物都由华莱士提供。
110		110.你永远不会死，死亡存在你就不存在，你存在死亡就不存在。
111		111.好消息，由于大门忘记锁，本院病人于今早全部出院
112		112.“你是不是走错方向了？”“没关系，我去的是罗马”
113		113.擅长苦中作乐的小明在高强度加班时活活笑死
114		114.只要我还活着，就绝对不会让人类灭绝这件事发生
115		115.一天一个苹果，医生远离我。一天半个苹果，医生在远离我的边缘试探
116		116.我家洗砚池边树，挨着我家洗砚池
117		117.“要一直看着我哦。” “嗯嗯。” 太阳与向日葵的告白
118		118.我发现我的爸妈简直是天生一对 他们甚至连结婚日期都是同一天
119		119.杀不死你的东西只会让你活着。
120		120.四维生物比划道：“大概这么久。”
121		121.粉丝行为请不要上升到扇贝
122		122.小明因为没买VIP，被广告商判了有期徒刑15秒
123		123.每个人会死两次，第一次是没了呼吸，第二次是互联网搜索记录被翻了出来
124		124.世上本没有来去之间，阴阳人多了，也便成了来去之间
125		125.宝剑锋从磨砺出，梅花香自薄壁组织中的许多油细胞
126		126.坏掉的东西，还能修好。可是坏掉的感情，岂可修
127		127.杨永信，中国教育电击人。
128		128.高考的记得记一下自己的名字，那个必考
129		129.既然监狱里全是罪犯，王警官为什么不去监狱里抓人
130		130.我心底燃起了希望，就像坟场里升起了太阳
131		131.许愿池前，我投出硬币祈求早日脱单。 硬币落入池中，发出“孤独一生”。
132		132.南村群童欺我老无力    翻译：南童竟在我身边
133		133.垃圾桶原来是圣诞树 我看到它开满了花 还挂了许多的小礼物
134		134.初音未来的演唱会没看到她，因为初音未来。
135		135.因为我很双标，所以别人不能双标。
136		136.遗书就是自己给这个世界的辞职信。
137		137.酒精+水可以组成恒沸物，酒精+我可以组成铁废物。
138		138.解决内卷的方法：读书破万卷
139		139.范进中举后喜极而疯，这个故事流传到了日本，史称《进击的举人》
140		140.只要你每天挤出两天的时间学习，你的学习效率至少是他人的两倍
141		141.文字太苍白，描述不出雪的颜色
142		142.道德绑架的人为什么要绑架道德，自己没有吗？
144		144.“这是我的new idea。”北京人更改ID时说道。
145		145.鲤鱼打滚的时候只要够快，就能成为驴打滚。
146		146.雨下得很轻，因为天空也怕哭出声。
147		147.打字用缩写的都是sb
148		148.如果我改名叫鲁滨孙 星期五会不会来得快一点。
149		149.“我晚上梦见我数学大题全错” “梦跟现实是相反的，所以你至少对一道题”
150		150.“所以，i是会消失的对吗？” 外部环境向for循环代码块问道。
151		151.我教给每只鹦鹉一个字，然后把这群文字放归辞林
152		152.“你居然不吃这套。” 肯德基点餐员失落地说道。
153		153.领养和代孕有什么本质区别？　答：一个能减少孤儿，另一个会制造孤儿
154		154.我曾经杀死一只知更鸟，曾经杀死比尔，还曾经杀死那个石家庄人
155		155.既然“你不干也有人会干”，那么我们为什么不能把黑心企业都倒闭了，反正这些服务良心企业也能提供。
156		156.哪吒闹海讲了一个来龙去脉的故事
157		157.十年后我怀念二十年前的时候，准会想起十年前我憧憬二十年后的那个遥远的下午。
158		158.我碰到女鬼了，就在晚风吹拂我脸庞时，她吻了我。
159		159.公司就是小孩将大人送去托管的地方
160		160.食人族要求煎饼摊老板：“多少沾点脑摊。”
161		161.恐怖分子是由2个恐怖原子组成的，还是由1个恐原子和1个怖原子构成的？
162		162.因为睡不着，所以可证明睡是不可燃物品
163		163.“请你站在我的立场上想一想，如果你杀了人，你会承认吗？”犯罪嫌疑人向王警官解释道。
164		164.活到老学到老，我不学，所以我不会老。
165		165.高中生小明总是丢三落四,导致他在数学考试中取π值为0.1。
166		166.“大人有大量，小孩倒是不多了。”食人族厨师清点食材说。
167		167.总是忍不住咬手指甲怎么办？专家一语道破 只要把不和住两字换下位置，立刻忍住不咬手指甲！
168		168.我写的代码因为bug过多被昆虫学家们奉为百科全书
169		169.老马识途，大马士革，小马宝莉。
170		170.高楼大厦切割了天空，抬头看去，天空从来都不是完整的。
171		171.悉心指导学生的王老师被当场取消监考资格
172		172.当我举起雨伞，我就不再属于这片天空
173		173.“快点拉出来吧！”是一个祈屎句。
174		174.为什么炫迈不请特斯拉代言
175		175.呦呦呦，这不洛杉矶吗，几天不见，这么LA了？
176		176.蚕宝宝对摊主说到：我要变态辣！
177		177.先别说话，再别康桥
178		178.化学老师对我说: 化学就是现实的魔法 所以交化学系女友是不是约等于和魔法少女谈恋爱？
179		179.表演话剧，小明一人饰三角，小刚一人饰椭圆。
180		180.很多明星都有后援会 我不一样，我运动完后缓会
181		181.赤道那么暖和，为什么不给我们北方修一条？
182		182.“人家才不是二次元呢”x²哭着说。
183		183.做什么事都积极不起来的抑郁症小明被要求积极配合治疗。
184		184.拉屎是什么很稀罕的事吗？为什么每个过马路的人都要看我一眼？
186		186.让皮诺曹说光是粒子，它的鼻子会怎样？ 在宏观上变长，但在微观上不变？
187		187.我躺在一大片花海的中央，期待着被溺死于花儿的芬芳。
188		188.我在网吧能上网，为什么在弱智吧不能上弱智？
189		189.怎么，清华真就人均985呗？
190		190.低情商:恶之花绽放的土地  高情商:今夜我们都是美国人
191		191.我前脚刚走，我后脚就跟上了
192		192.研究表明：睡觉可以有效治疗失眠。
193		193.李外卖由于违反学校禁止叫外卖的规定被开除
194		194.王老汉拉了一卡车葡萄，一个急刹车后车里竟只剩一个西瓜
195		195.李华的英语试卷因出现个人信息而作废
196		196.“我承认这次是风抱住了我。”跳楼的王老汉说道。
197		197.老妈经常对我说：漂亮的女孩子说话不可以信 所以老妈说的话不可信 漂亮的女孩子说话可以信
198		198.小知识:人在死亡后可以不吃不喝很多年。
199		199.李白点奶茶，绣口一吐就是个半糖。
200		200.一是1划 二是2划 三是3划，所以有没可能五才是4 而四才是5呢
201		201.发呆是在阅读空气
202		202.灯塔是陆地的诱饵
