序号	评分	帖子
1		1.“兄弟们，签到了！”朝阳公安分局的夜班民警说。
2		2.小兰和新一结婚后，侦探事务所毛利率大幅下降
3		3.我发现奥斯卡颁奖典礼是假的，我发现台下坐的大多数都是他们请来的演员。
4		4.刚刚差点被车撞到还好捡回一条命，我现在有两条命了。
5		5.我故意在凶器上留下了指纹，警察绝对想不到我是带着手套作案的。
6		6.“回头我给你涨工资”，说完老板头也不回地走了
7		"7.""老师：小明背一下26个字母　小明：AB　老师：怎么不继续说　小明：在等CD"""
8		8.货车司机老刘连续开车开了三个月没有休息，老板安慰他说：“你别想不开”
9		9.突然猝死，可能是身体在向你求救！
10		10.　：你现在大概存了多少钱？　：50w　：卧槽？！真的吗？　：真的呀w
11		11.喜欢偷偷按邻居门铃的小明见四下无人，按了第五下。
12		12.司仪：你俩要是不结婚真的很难收场
13		13.“夸张了啊。”说罢，刘备开始细数三弟的优点。
14		14.考古学家至今没有在古墓中发现塑料制品，说明古代已经发明了可降解塑料
15		15.“音乐不需要有太多人欣赏，我喜欢独品”。宋冬野如是说道。
16		16.一个合格的葬礼除了要埋葬已故的人的肉体，还要埋葬活着的人悲伤的情绪。
17		17.知名piano艺术家忘n负义
18		"18.""“死罪可免，活罪难逃！”　我被判决出生。　"""
19		19.海伦凯勒的作品《仅三天可见》
20		20.要断章取义——节选自《不要断章取义》
21		21.能让人快乐的东西，例如：烟，酒，都会损害寿命，那么是不是让人不快乐的东西就是生命本身呢?
22		22.知识都让好学生学完了，害得我学不到
23		23.地下赌马是不是也叫私密马赛？
24		24.鱼藏在水里，躲猫猫。
25		25.你们都说我是弱智,其实只有我遵守了当年一起不长大的约定
26		26.我的母校，清华大学。这是两所学校
27		27.卷子上我考了0分，被人提醒成绩单拿反了，原来我考了0分！
28		28.“谈判专家不戴护具太危险了”“没事，他普通话二级甲。”
29		29.我宣布银牌和铜牌没有任何含金量。因为它们分别是银的和铜的。
30		"30.""年级：2017　学院：翻译　系：广东人"""
31		31.狼被怀疑是哈士奇，立刻声明狼籍。
32		32.为什么大兴机场相当于五个标准足球场大小，却一场球赛也没办过？
33		33.皱纹是时间吹过身体时泛起的涟漪。
34		34.对着镜子中的自己开了一枪，但镜子中又多出了无数个我。
35		35.博士毕业的人都很聪明，为什么国家不给每个人都授予博士学位，让每个人都变聪明？
36		36.网络上nt多是正常的，毕竟Internet里面都有两个nt
37		37.这里的士怎么都没了，我还想打车呢，看来只能把炮退回来了
38		38.深夜走进便利店收银员说：“你这全家就你一个人啊？”
39		"39.""拿枪指猫，　问：汝几条命　猫曰：9命"""
40		40.天才就是百分之九十九的天才加上百分之一的天才。
